Startnummer;Name;Kommentar;Team;Team kurz;Land
134;Alexandr DYACHENKO ;;Pro Team Astana ;AST
135;Enrico GASPAROTTO ;;Pro Team Astana ;AST
136;Tanel KANGERT ;;Pro Team Astana ;AST
137;Mirco LORENZETTO ;;Pro Team Astana ;AST
138;Sergey RENEV ;;Pro Team Astana ;AST
141;Gorka IZAGIRRE INSAUSTI ;;Euskaltel - Euskadi ;EUS
142;Javier Francisco ARAMENDIA LORENTE ;;Euskaltel - Euskadi ;EUS
143;Jorge AZANTA SOTO ;;Euskaltel - Euskadi ;EUS
144;Nicolas Jonathan CASTROVIEJO ;;Euskaltel - Euskadi ;EUS
145;Koldo FERNANDEZ DE LARREA ;;Euskaltel - Euskadi ;EUS
146;Alan PEREZ LEZAUN ;;Euskaltel - Euskadi ;EUS
147;Ruben PEREZ MORENO ;;Euskaltel - Euskadi ;EUS
148;Daniel SESMA ;;Euskaltel - Euskadi ;EUS
151;Tom BOONEN ;;Quick Step Cycling Team ;QST
152;Sylvain CHAVANEL ;;Quick Step Cycling Team ;QST
153;Gerald CIOLEK ;;Quick Step Cycling Team ;QST
154;Kevin DE WEERT ;;Quick Step Cycling Team ;QST
155;Dries DEVENYNS ;;Quick Step Cycling Team ;QST
156;Gert STEEGMANS ;;Quick Step Cycling Team ;QST
157;Zdenek STYBAR ;;Quick Step Cycling Team ;QST
158;Kristof VANDEWALLE ;;Quick Step Cycling Team ;QST
161;Martin ELMIGER ;;AG2R La mondiale ;ALM
162;Mikael CHÉREL ;;AG2R La mondiale ;ALM
163;Cyril DESSEL ;;AG2R La mondiale ;ALM
164;Ben GASTAUER ;;AG2R La mondiale ;ALM
165;Lloyd MONDORY ;;AG2R La mondiale ;ALM
166;Matteo MONTAGUTI ;;AG2R La mondiale ;ALM
167;Rinaldo NOCENTINI ;;AG2R La mondiale ;ALM
168;Anthony RAVARD ;;AG2R La mondiale ;ALM
171;Matteo CARRARA ;;Vacansoleil - DCM Procycling Team ;VCD
172;Borut BOZIC ;;Vacansoleil - DCM Procycling Team ;VCD
173;Thomas DE GENDT ;;Vacansoleil - DCM Procycling Team ;VCD
174;Stijn DEVOLDER ;;Vacansoleil - DCM Procycling Team ;VCD
175;Sergey LAGUTIN ;;Vacansoleil - DCM Procycling Team ;VCD
176;Marco MARCATO ;;Vacansoleil - DCM Procycling Team ;VCD
177;Ruslan PIDGORNYY ;;Vacansoleil - DCM Procycling Team ;VCD
178;Wouter POELS ;;Vacansoleil - DCM Procycling Team ;VCD
181;Alexander EFIMKIN ;;Team Type 1 - Sanofi Aventis ;TT1
182;Alessandro BAZZANA ;;Team Type 1 - Sanofi Aventis ;TT1
183;Rubens BERTOGLIATI ;;Team Type 1 - Sanofi Aventis ;TT1
184;Lazlo BODROGI ;;Team Type 1 - Sanofi Aventis ;TT1
185;Daniele CALLEGARIN ;;Team Type 1 - Sanofi Aventis ;TT1
186;Valeryi KOBZARENKO ;;Team Type 1 - Sanofi Aventis ;TT1
187;Javier MEGIAS LEAL ;;Team Type 1 - Sanofi Aventis ;TT1
188;Scott STEWART ;;Team Type 1 - Sanofi Aventis ;TT1
191;Andreas DIETZIKER ;;Team NetApp ;APP
192;Jan BARTA ;;Team NetApp ;APP
193;Cesare BENEDETTI ;;Team NetApp ;APP
194;Alexander GOTTFRIED ;;Team NetApp ;APP
195;Bartosz HUZARSKI ;;Team NetApp ;APP
196;Daryl IMPEY ;;Team NetApp ;APP
197;Leopold KÖNIG ;;Team NetApp ;APP
198;Daniel SCHORN ;;Team NetApp ;APP
